Time (ms),Measured Pitch,Commanded Pitch
20894.0,-0.08,0.0
20904.0,-0.04,0.0
20914.0,-0.04,0.0
20924.0,-0.1,0.0
20933.0,-0.12,0.0
20942.0,-0.07,0.0
20953.0,-0.04,0.0
20962.0,-0.08,0.0
20971.0,-0.16,0.0
20981.0,-0.11,0.0
20990.0,-0.04,0.0
21001.0,-0.04,0.0
21010.0,-0.12,0.0
21019.0,-0.13,0.0
21029.0,-0.12,0.0
21039.0,-0.05,0.0
21049.0,0.01,0.0
21058.0,-0.07,0.0
21067.0,-0.08,0.0
21078.0,-0.04,0.0
21087.0,0.02,0.0
21097.0,-0.05,0.0
21106.0,-0.03,0.0
21115.0,0.01,0.0
21126.0,0.01,0.0
21135.0,-0.03,0.0
21145.0,-0.11,0.0
21154.0,-0.04,0.0
21164.0,0.03,0.0
21174.0,-0.03,0.0
21183.0,-0.02,0.0
21193.0,-0.0,0.0
21202.0,0.06,0.0
21212.0,-0.03,0.0
21222.0,-0.01,0.0
21231.0,-0.03,0.0
21241.0,-0.05,0.0
21251.0,-0.09,0.0
21260.0,-0.06,0.0
21270.0,0.01,0.0
21279.0,0.01,0.0
21289.0,-0.0,0.0
21299.0,-0.05,0.0
21308.0,-0.08,0.0
21318.0,-0.11,0.0
21327.0,-0.08,0.0
21338.0,-0.08,0.0
21347.0,-0.08,0.0
21356.0,-0.12,0.0
21366.0,-0.13,0.0
21376.0,-0.07,0.0
21386.0,-0.04,0.0
21395.0,-0.05,0.0
21404.0,-0.1,0.0
21414.0,-0.1,0.0
21424.0,-0.1,0.0
21433.0,-0.11,0.0
21443.0,-0.12,0.0
21452.0,-0.05,0.0
21463.0,-0.04,0.0
21472.0,-0.1,0.0
21481.0,-0.11,0.0
21491.0,-0.06,0.0
21500.0,0.0,0.0
21511.0,-0.08,0.0
21520.0,-0.14,0.0
21529.0,-0.08,0.0
21539.0,-0.02,0.0
21549.0,-0.03,0.0
21559.0,-0.04,0.0
21568.0,-0.09,0.0
21577.0,-0.02,0.0
21587.0,0.04,0.0
21597.0,0.01,0.0
21607.0,-0.06,0.0
21616.0,0.01,0.0
21625.0,0.04,0.0
21636.0,-0.03,0.0
21645.0,-0.08,0.0
21655.0,-0.11,0.0
21664.0,-0.06,0.0
21673.0,-0.02,0.0
21684.0,0.0,0.0
21693.0,0.05,0.0
21703.0,0.0,0.0
21712.0,-0.03,0.0
21722.0,0.01,0.0
21732.0,0.05,0.0
21741.0,0.04,0.0
